type,title,date,authors,doi,publisher,venue,location
book,2016b,,"['Kuno Kurzhals', 'Marcel Hlawatsch', 'Florian Heimerl', 'Michael Burch', 'Thomas Ertl', 'Daniel Weiskopf']",10.1109/TVCG.2015.2468091,Image-Based Visualization of Eye Tracking Data,,Gaze Stripes
article-journal,User Performance and Reading Strategies for Metro Maps: An Eye Tracking Study,"['2017', '2017']","['Rudolf Netzel', 'Bettina Ohlhausen', 'Kuno Kurzhals', 'Robin Woods', 'Michael Burch', 'Daniel Weiskopf']",full/10.1080/13875868.2016.1226839,,Spatial Cognition & Computation,
paper-conference,Feature congestion: a measure of display clutter,2005,"['R. Rosenholtz', 'Y. Li', 'J. Mansfield', 'Z. Jin']",10.1145/1054972.1055078,,Proceedings of Conference on Human Factors in Computing Systems,
short-paper,TEAMwISE: Synchronised Immersive Environments for Exploration and Analysis of Movement Data,2019,"['Karsten Klein', 'Michael Aichem', 'Björn Sommer', 'Stefan Erk', 'Ying Zhang', 'Falk Schreiber']",10.1145/3356422.3356450,ACM,vinci,
article-journal,"Visual Methods for Analyzing Time-Oriented Data""",2008,"['W. Aigner', 'S. Miksch', 'W. Muller', 'H. Schumann', 'C. Tominski']",10.1109/TVCG.2007.70415,IEEE Computer Society,IEEE Trans. Visualization and Computer Graphics,
chapter,"A geospatially enabled, PC-based, software to fuse and interactively visualize large 4D/5D data sets",2009,"['Jose M. Andres', 'McKay Davis', 'Kayo Fujiwara', 'John C. Anderson', 'Tie Fang', 'Michael Nedbal']",10.23919/OCEANS.2009.5422372,,OCEANS 2009,
article-journal,Visual Analytics Tools for Analysis of Movement Data,"['2007', '2007-12']","['Gennady Andrienko', 'Natalia Andrienko', 'Stefan Wrobel']",10.1145/1345448.1345455,,SIGKDD Explor. Newsl,
book,Visual Analytics of Movement,2013,"['G. Andrienko', 'N. Andrienko', 'P. Bak', 'D. Keim', 'S. Wrobel']",10.5555/2541758,Springer,,Berlin
article-journal,Spatial Generalization and Aggregation of Massive Movement Data,"['2011', '2011-02']","['Natalia Andrienko', 'Gennady Andrienko']",10.1109/TVCG.2010.44,,IEEE Transactions on Visualization and Computer Graphics,
paper-conference,Supporting Visual Exploration of Object Movement,2000,"['Natalia Andrienko', 'Gennady Andrienko', 'Peter Gatalsky']",10.1145/345513.345319,,Proceedings of the Working Conference on Advanced Visual Interfaces (AVI '00). ACM,"New York, NY, USA"
chapter,A system for visualizing time varying oceanographic 3D data,2004,"['R. Arsenault', 'C. Ware', 'M. Plumlee', 'S. Martin', 'L.L. Whitcomb', 'D. Wiley', 'T. Gross', 'A. Bilgili']",10.1109/OCEANS.2004.1405535,,"Oceans ""04 MTS/IEEE Techno-Ocean ""04 (IEEE Cat. No.04CH37600",
,cesiumjs API Reference,2017,[],temp2134,,,
,d3js API Reference,2019,[],temp2135,,,
article-journal,Analysis and visualisation of movement: an interdisciplinary review,"['2015', '2015']","['Urška Demšar', 'Kevin Buchin', 'Francesca Cagnacci', 'Kamran Safi', 'Bettina Speckmann', 'Nico Weghe', 'Daniel Weiskopf', 'Robert Weibel']",temp2136,,Movement Ecology,
book,Immersive Analytics: An Introduction,2018,"['Tim Dwyer', 'Kim Marriott', 'Tobias Isenberg', 'Karsten Klein', 'Nathalie Riche', 'Falk Schreiber', 'Wolfgang Stuerzlinger', 'Bruce H. Thomas']",10.1007/978-3-030-01388-2_1,Springer International Publishing,,
,"Different types of ""times"" in GIS. Spatial and temporal reasoning in geographic information systems","['1998', '1998']",['Andrew U. Frank'],temp2138,,,
article-journal,ST-TrajVis: Interacting with Trajectory Data,2013,"['Tiago Gonçalves', 'Ana Paula Afonso', 'Bruno Martins', 'Daniel Gonçalves']",=10.14236/ewic/HCI2013.56,British Computer Society,"[""Proceedings of the 27th International BCS Human Computer Interaction Conference (BCS-HCI '13"", 'Article']","Swinton, UK, UK"
paper-conference,"Visual community detection: An evaluation of 2D, 3D perspective and 3D stereoscopic displays",2011,"['Nicolas Greffard', 'Fabien Picarougne', 'Pascale Kuntz']",temp2140,Springer,International Symposium on Graph Drawing,
,What about people in Regional Science? Papers of the Regional Science Association 24,"['1970', '1970-12-01']",['Torsten Hägerstrand'],10.1007/BF01936872,,,
article-journal,Flowstrates: An Approach for Visual Exploration of Temporal Origin-Destination Data,"['2011', '2011']","['Boyandin Ilya', 'Bertini Enrico', 'Bak Peter', 'Lalanne Denis']",10.1111/j.1467-8659.2011.01946.x,,Computer Graphics Forum,
article-journal,Evaluating 2D and 3D Visualizations of Spatiotemporal Information,"['2008', '2008-06']","['Andreas Kjellin', 'Lars Winkler Pettersson', 'Stefan Seipel', 'Mats Lind']",10.1145/1773965.1773970,,ACM Trans. Appl. Percept,
article-journal,Fly with the flock: immersive solutions for animal movement visualization and analytics,"['2019', '2019']","['Karsten Klein', 'Björn Sommer', 'Hieu T. Nim', 'Andrea Flack', 'Kamran Safi', 'Mate Nagy', 'Stefan P. Feyer', 'Ying Zhang', 'Kim Rehberg', 'Alexej Gluschkow', 'Michael Quetting', 'Wolfgang Fiedler', 'Martin Wikelski', 'Falk Schreiber']",10.1098/rsif.2018.0794arXiv:https://royalsocietypublishing.org/doi/pdf/10.1098/rsif.2018.0794,,Journal of The Royal Society Interface,
article-journal,Visual exploration of migration patterns in gull data,"['2019', '2019']","['Maximilian Konzack', 'Pieter Gijsbers', 'Ferry Timmers', 'Emiel Loon', 'Michel A. Westenberg', 'Kevin Buchin']",10.1177/1473871617751245,,Information Visualization,
article-journal,Move: visualizing and analyzing animal track data,"['2013', '2013']","['Bart Kranstauber', 'Marco Smolla', 'A.K. Scharf']",temp2146,,R package version,
paper-conference,A New Approach to Exploring Spatiotemporal Space in the Context of Social Network Services,2014,"['Jae-Gil Lee', 'Kun Chang Lee', 'Dong-Hee Shin']",10.1007/978-3-319-07632-4_21,Springer-Verlag,Proceedings of the 6th International Conference on Social Computing and Social Media,"New York, Inc., New York, NY, USA"
article-journal,A Viewpoint Based Approach to the Visual Exploration of Trajectory,"['2017', '2017-08']","['Jie Li', 'Zhao Xiao', 'Jun Kong']",10.1016/j.jvlc.2017.04.001,,J. Vis. Lang. Comput,
article-journal,Research challenges in geovisualization,"['2001', '2001']","['Alan M. MacEachren', 'Menno-Jan Kraak']",temp2149,,Cartography and geographic information science,
,Movebank data repository,2018,['M.B. '],temp2150,,,
article-journal,Classifying pedestrian movement behaviour from GPS trajectories using visualization and clustering,"['2014', '2014']","['Gavin McArdle', 'Urška Demšar', 'Stefan Spek', 'Seán McLoone']",10.1080/19475683.2014.904560,,Annals of GIS,
chapter,What is 3D good for? A review of human performance on stereoscopic 3D displays,2012,"['J.P. McIntire', 'P.R. Havig', 'E.E. Geiselman']",10.1117/12.920017,,"['Head- and Helmet-Mounted Displays', 'International Society for Optics and Photonics (SPIE']",
article-journal,Hierarchical group dynamics in pigeon flocks,"['2010', '2010']","['Máté Nagy', 'Zsuzsa Ákos', 'Dora Biro', 'Tamás Vicsek']",10.1038/nature08891,,nature,
chapter,Design considerations for immersive analytics of bird movements obtained by miniaturised GPS sensors,2017,"['Hieu T. Nim', 'Björn Sommer', 'Karsten Klein', 'Andrea Flack', 'Kamran Safi', 'Máté Nagy', 'Wolfgang Fiedler', 'Martin Wikelski', 'Falk Schreiber']",10.2312/vcbm.20171234,,Eurographics Workshop on Visual Computing for Biology and Medicine. The Eurographics Association,
,Node.js API Reference,2019,[],temp2155,,,
article-journal,OpenCPU: Producing and Reproducing Results,"['2013', '2013']",['Jeroen Ooms'],temp2156,,URL,
article-journal,Exploratory Visual Analysis for Animal Movement Ecology,"['2016', '2016']","['Aidan Slingsby', 'Emiel Loon']",10.1111/cgf.12923,,Computer Graphics Forum,
article-journal,Stereoscopic cell visualization: from mesoscopic to molecular scale,"['2014', '2014']","['Björn Sommer', 'Christian Bender', 'Tobias Hoppe', 'Christian Gamroth', 'Lukas Jelonek']",temp2158,,Journal of Electronic Imaging,
paper-conference,Exploration Through Enrichment: A Visual Analytics Approach for Animal Movement,2011,"['David Spretke', 'Peter Bak', 'Halldor Janetzko', 'Bart Kranstauber', 'Florian Mansmann', 'Sarah Davidson']",10.1145/2093973.2094038,ACM,Proceedings of the 19th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems (GIS '11,"New York, NY, USA"
article-journal,Stacking-based visualization of trajectory attribute data,2012,"['C. Tominski', 'H. Schumann', 'G. Andrienko', 'N. Andrienko']",10.1109/TVCG.2012.265,,IEEE Trans. Vis. Comput. Graph,
article-journal,Movement-Based Estimation and Visualization of Space Use in 3D for Wildlife Ecology and Conservation,"['2014', '2014']","['Jeff A. Tracey', 'James Sheppard', 'Jun Zhu', 'Fuwen Wei', 'Ronald R. Swaisgood', 'Robert N. Fisher']",10.1371/journal.pone.0101205,,PLOS ONE,
paper-conference,Urban trajectory timeline visualization,2014,"['Z. Wang', 'X. Yuan']",10.1109/BIGCOMP.2014.6741397,,2014 International Conference on Big Data and Smart Computing (BIGCOMP,
article-journal,Wind estimation based on thermal soaring of birds,"['2016', '2016']","['Rolf Weinzierl', 'Gil Bohrer', 'Bart Kranstauber', 'Wolfgang Fiedler', 'Martin Wikelski', 'Andrea Flack']",10.1002/ece3.2585,,Ecology and Evolution,
article-journal,Maps and Globes in Virtual Reality,"['2018', '2018']","['Yalong Yang', 'Bernhard Jenny', 'Tim Dwyer', 'Kim Marriott', 'Haohui Chen', 'Maxime Cordeil']",10.1111/cgf.13431arXiv:https://onlinelibrary.wiley.com/doi/pdf/10.1111/cgf.13431,,Computer Graphics Forum,
article-journal,An Immersive Approach to the Visual Exploration of Geospatial Network Datasets,2016,"['Meng-Jia Zhang', 'Jie Li', 'Kang Zhang']",10.1145/3013971.3013983,ACM,Proceedings of the 15th ACM SIGGRAPH Conference on Virtual-Reality Continuum and Its Applications in Industry,"New York, NY, USA"
article-journal,Trajectory Data Mining: An Overview,"['2015', '2015-05']",['Yu Zheng'],10.1145/2743025,,ACM Trans. Intell. Syst. Technol,
short-paper,Underwater Frogman Situational Awareness and AR Helmet Display and Control System,2019,"['Yanping Hu', 'Lihua Gui', 'Ye Wang']",10.1145/3356422.3356424,ACM,vinci,
article-journal,"Zheng Weigang, Design of Visual Helmet with Low Visibility Underwater",2017,"['Yu Hanjin', 'Shuai Ran']",temp2167,,Inverter World,
,,,[],temp2168,,,
,,,[],temp2169,,,
,,,[],temp2170,,,
,,,[],temp2171,,,
,DIST.-2001 aircraft display symbology,,['A.I.R.F.O.R.C.E.M.I.L.-S.T.D.-1787 C. CONT'],temp2172,,,
article-journal,Redundant Use of Luminance and Flashing with Shape and Color as Highlighting Codes in Symbolic Displays [J,1993,"[' Orden K F', 'Divita J', 'Shim M. J']",10.1177/001872089303500201,,Human Factors,
article-journal,Observer sensitivity to element reliability in a multi-element visual display[J,1996,"['Montgomery D. A', 'Sorkin K. D']",10.1518/001872096778702024,,Human Factors,
article-journal,Attentional Filtering in the Design of Electronic Map Displays: A Comparison of Color Coding,2001,"['Michelle Yeh', 'Christopher D. Wickens']",10.1518/001872001775870359,,"Intensity Coding, and Decluttering Techniques [J]. Human Factors",
article-journal,"['An evaluation environment for a helmet-mounted synthetic degraded visual environment display[C]/Digital Avionics Systems Conference(DASC', 'IEEE/AIAA 33rd']",2014,"['N. Peinecke', 'Knabl P. M', 'S. Schmerwitz', ' a1']",temp2176,,IEEE,
article-journal,Visual-conformal display format for helicopter guidance[C]/ SPIE Defense Security,2014,"['Doehler H. U', 'Schmerwitz S', 'Lueken T']",temp2177,,International Society for Optics and Photonics,
,"General requirements for ergonomics design of GJB 1062A-2008 military visual display, published by Military Standard Distribution Department of General Equipment Department",2008-12,[],temp2178,,,
,Information display needs of new fighter pilots during Tactical Navigation [J].Ergonomics,2003,"['Guo Xiaochao', 'Liu Baoshan', 'Ma Cedar', 'Eli ']",temp2179,,,
article-journal,Research on Display and Control Interface Layout Design of New Generation Fighter [J,,"['Wang Haiyan', 'Bian Ting', 'Xue Chengqi']",temp2180,,Electromechanical Engineering,
article-journal,Principles and methods of symbolic system evaluation for airborne helmet-mounted displays [J,2013,"['Fu Yaqiang', 'Xu Baihua']",temp2181,,Aerospace Medicine and Medical Engineering,
article-journal,An Experimental Study on Visual Limitation of Target Search in Radar Situation Interface [J,2014,"['Wu Xiaoli', 'Xue Chengqi', 'Tang Wencheng', 'Shao Jiang', 'Li Jing']",temp2182,,Journal of Southeast University (Natural Science Edition,
book,Research on Information Layout Optimization of Helmet Display Interface,2015,['Zhang Qiang'],temp2183,Southeast University,,
book,Research on Information Encoding Method of Helmet Display Interface Based on Visual Cognition Theory,2016,[],temp2184,"Southeast University, Shao Jiang",,
article-journal,Cooperative Visual Analysis Method of Radio Spectrum and Radio Signal Data,2017-01,"['Zhou Fangfang', 'Zeng Yuan', 'Zhao Ying', 'Zhang Rong', 'Wang Jinsong', 'Zheng Wei Jinlei', 'Wang Yunhai']",temp2185,,Journal of Computer Aided Design and Graphics,
article-journal,M3: visual exploration of spatial relationships between flight trajectories,2018,"['Hutong Wu', 'Shicao Jia', 'Jinsong Wang', 'Jiawan Zhang']",temp2186,,Journal of Visualization,
research-article,Advanced Visual Metaphors and Techniques for Software Maps,2019,"['Daniel Limberger', 'Willy Scheibel', 'Jürgen Döllner', 'Matthias Trapp']",10.1145/3356422.3356444,ACM,vinci,
paper-conference,Case study. Visualising cyberspace: information visualisation in the Harmony Internet browser,1995,['Keith Andrews'],10.1109/INFVIS.1995.528692,,Proc. IEEE Vis,
paper-conference,Visual Exploration of Large Hierarchies with Information Pyramids,2002,['Keith Andrews'],10.1109/IV.2002.1028871,,Proc. IEEE iV,
paper-conference,CodeMetropolis: Eclipse over the city of source code,2015,"['G. Balogh', 'A. Szabolics', 'Á. Beszédes']",10.1109/SCAM.2015.7335425,,Proc. IEEE SCAM,
paper-conference,Hierarchy Based 3D Visualization of Large Software Structures,2004,"['Michael Balzer', 'Oliver Deussen']",10.1109/VISUAL.2004.39,IEEE Computer Society,Proc. IEEE VIS (VIS '04,"Washington, DC, USA"
paper-conference,Software Landscapes: Visualizing the Structure of Large Software Systems,2004,"['Michael Balzer', 'Andreas Noack', 'Oliver Deussen', 'Claus Lewerentz']",10.2312/VisSym/VisSym04/261-266,,"['Proc. EG/IEEE VisSym', 'The Eurographics Association']",
paper-conference,Extending tree-maps to three dimensions: A comparative study,2004,"['Thomas Bladh', 'David A. Carr', 'Jeremiah Scholl']",temp2192,Springer,Proc. APCHI,
paper-conference,CocoViz: Towards Cognitive Software Visualizations,2007,"['S. Boccuzzo', 'H. Gall']",10.1109/VISSOF.2007.4290703,,Proc. IEEE VISSOFT,
paper-conference,Monitoring Code Quality and Development Activity by Software Maps,2011,"['Johannes Bohnet', 'Jürgen Döllner']",10.1145/1985362.1985365,,Proc. ACM MTD,
book,Readings in Information Visualization: Using Vision to Think,1999,[' '],10.5555/300679,Morgan Kaufmann,,
report,Considering visual variables as a basis for information visualisation,2003,['M.Sheelagh T. Carpendale'],temp2196,University of Calgary,,
article-journal,Visualization of the Static Aspects of Software: A Survey,"['2011', '2011']","['P. Caserta', 'O. Zendra']",10.1109/TVCG.2010.110,,IEEE TVCG,
paper-conference,A self-adaptive treemap-based technique for visualizing hierarchical data in 3D,2009,"['Abon Chaudhuri', 'Han-Wei Shen']",10.1109/PACIFICVIS.2009.4906844,,Proc. IEEE PacificVis,
paper-conference,A Taxonomy of Visualization Techniques Using the Data State Reference Model,2000,['Ed H. Chi'],temp2199,IEEE Computer Society,Proc. IEEE InfoVis (INFOVIS '00,
paper-conference,An Operator Interaction Framework for Visualization Systems,1998,"['Ed Huai-hsin Chi', 'John Riedl']",temp2200,IEEE Computer Society,Proc. IEEE InfoVis (INFOVIS '98,
paper-conference,Strata Treemaps,2011,"['Junghong Choi', 'Oh-hyun Kwon', 'Kyungwon Lee']",10.1145/2037715.2037813,,Proc. ACM SIGGRAPH Posters (SIGGRAPH '11). ACM,
,,,['S. Diehl'],10.5555/1209814,,,
article-journal,Gaining understanding of multivariate and multidimensional data through visualization,"['2004', '2004']","['Selan R. Santos', 'Ken Brodlie']",temp2203,,Elsevier Computers & Graphics,
